Feature,coef, P>|z|  ,Target
lablack20share,897.8863,0.249,Age Adjusted Rate Psychoactive
lahisp10share,-44.8086,0.021,Age Adjusted Rate Psychoactive
lahisp20share,27.6367,0.738,Age Adjusted Rate Psychoactive
lahunv10share,-84.7793,0.508,Age Adjusted Rate Psychoactive
lahunv20share,-212.5403,0.56,Age Adjusted Rate Psychoactive
lasnap10share,-42.9791,0.177,Age Adjusted Rate Psychoactive
lasnap20share,308.1492,0.037,Age Adjusted Rate Psychoactive
lawhite10share,22.6456,0.168,Age Adjusted Rate Psychoactive
lawhite20share,-176.9883,0.003,Age Adjusted Rate Psychoactive
lalowi10share,38.347,0.088,Age Adjusted Rate Psychoactive
lalowi20share,-434.7948,0.004,Age Adjusted Rate Psychoactive
lapop10share,-3.2239,0.887,Age Adjusted Rate Psychoactive
lapop20share,263.6156,0.003,Age Adjusted Rate Psychoactive
const,5.2478,0,Age Adjusted Rate Neoplasms
lablack10share,0.3855,0,Age Adjusted Rate Neoplasms
lablack20share,-2.2472,0,Age Adjusted Rate Neoplasms
lahisp10share,-0.5601,0,Age Adjusted Rate Neoplasms
lahisp20share,-2.0238,0,Age Adjusted Rate Neoplasms
lahunv10share,-1.7618,0,Age Adjusted Rate Neoplasms
lahunv20share,4.91,0,Age Adjusted Rate Neoplasms
lasnap10share,2.6258,0,Age Adjusted Rate Neoplasms
lasnap20share,-2.3007,0,Age Adjusted Rate Neoplasms
lawhite10share,0.2469,0,Age Adjusted Rate Neoplasms
lawhite20share,0.8766,0,Age Adjusted Rate Neoplasms
lalowi10share,0.5299,0,Age Adjusted Rate Neoplasms
lalowi20share,-0.6081,0.041,Age Adjusted Rate Neoplasms
lapop10share,-0.676,0,Age Adjusted Rate Neoplasms
lapop20share,-0.1577,0.439,Age Adjusted Rate Neoplasms
const,3.7705,0,Age Adjusted Rate MalignantDigestive
lablack10share,2.8126,0,Age Adjusted Rate MalignantDigestive
lablack20share,-7.7193,0.125,Age Adjusted Rate MalignantDigestive
lahisp10share,1.1778,0,Age Adjusted Rate MalignantDigestive
lahisp20share,0.7032,0.429,Age Adjusted Rate MalignantDigestive
lahunv10share,-2.4204,0.014,Age Adjusted Rate MalignantDigestive
lahunv20share,-3.372,0.358,Age Adjusted Rate MalignantDigestive
lasnap10share,5.3682,0,Age Adjusted Rate MalignantDigestive
lasnap20share,-3.8308,0.085,Age Adjusted Rate MalignantDigestive
lawhite10share,1.6283,0,Age Adjusted Rate MalignantDigestive
lawhite20share,-4.075,0,Age Adjusted Rate MalignantDigestive
lalowi10share,-2.3332,0,Age Adjusted Rate MalignantDigestive
lalowi20share,2.29,0.138,Age Adjusted Rate MalignantDigestive
lapop10share,-0.4558,0.114,Age Adjusted Rate MalignantDigestive
lapop20share,2.3599,0.047,Age Adjusted Rate MalignantDigestive
const,2.5867,0,Age Adjusted Rate MalignantBreast
lablack10share,10.9573,0,Age Adjusted Rate MalignantBreast
lablack20share,-80.2011,0.218,Age Adjusted Rate MalignantBreast
lahisp10share,0.3542,0.718,Age Adjusted Rate MalignantBreast
lahisp20share,4.8451,0.432,Age Adjusted Rate MalignantBreast
lahunv10share,-15.2064,0.006,Age Adjusted Rate MalignantBreast
lahunv20share,26.2152,0.509,Age Adjusted Rate MalignantBreast
lasnap10share,2.5569,0.593,Age Adjusted Rate MalignantBreast
lasnap20share,13.3581,0.368,Age Adjusted Rate MalignantBreast
